18
0	5	-50	-50	-50	-50	-50	30	-50	-50	-50	-50	-50	-50	-50	-50	-50	-50
5	0	-50	-50	-50	-50	-50	20	-50	-50	-50	-50	-50	-50	-50	-50	-50	-50
-50	-50	0	-50	-50	-50	-50	-50	-50	-50	-50	-50	-50	-50	-50	-50	-50	-50
-50	-50	-50	0	-50	-50	-50	-50	-50	-50	-50	-50	-50	-50	-50	-50	-50	-50
-50	-50	-50	-50	0	-50	-50	-50	-50	-50	-50	-50	-50	-50	-50	-50	-50	-50
-50	-50	-50	-50	-50	0	-50	-50	-50	-50	-50	-50	-50	-50	-50	-50	-50	-50
-50	-50	-50	-50	-50	-50	0	-50	-50	-50	-50	-50	-50	-50	-50	-50	-50	-50
30	20	-50	-50	-50	-50	-50	0	-50	-50	-50	-50	100	-50	-50	-50	-50	-50
-50	-50	-50	-50	-50	-50	-50	-50	0	-50	-50	-50	-50	-50	-50	-50	-50	-50
-50	-50	-50	-50	-50	-50	-50	-50	-50	0	-50	-50	-50	-50	-50	-50	-50	-50
-50	-50	-50	-50	-50	-50	-50	-50	-50	-50	0	1	-50	-50	-50	-50	-50	-50
-50	-50	-50	-50	-50	-50	-50	-50	-50	-50	1	0	-50	-50	-50	-50	-50	-50
-50	-50	-50	-50	-50	-50	-50	100	-50	-50	-50	-50	0	-50	-50	-50	-50	-50
-50	-50	-50	-50	-50	-50	-50	-50	-50	-50	-50	-50	-50	0	-50	-50	-50	-50
-50	-50	-50	-50	-50	-50	-50	-50	-50	-50	-50	-50	-50	-50	0	-50	-50	-50
-50	-50	-50	-50	-50	-50	-50	-50	-50	-50	-50	-50	-50	-50	-50	0	-50	-50
-50	-50	-50	-50	-50	-50	-50	-50	-50	-50	-50	-50	-50	-50	-50	-50	0	-50
-50	-50	-50	-50	-50	-50	-50	-50	-50	-50	-50	-50	-50	-50	-50	-50	-50	0


